Filmkode; Dansk titel ; Original titel ; Nationalitet ; Filmens længde i minutter ; Genre ; Censurforhold ; premiere uge ; premiere år ; Antal solgte biografbilletter 
5889;VIKINGERNE KOMMER;ERIK THE VIKING;STORBRITANNIEN;93;.;Tilladt for børn over 11 år;15;1990;67504
8959;THE BREAK UP;THE BREAK UP;USA;107;Spillefilm, voksne;Tilladt for alle;30;2006;67475
7760;GREV AXEL;;DANMARK;90;.;Frarådet for børn under 7 år;14;2001;67468
3550;HÆVNEREN;THE EXTERMINATOR;USA;102;.;Over 15 år, ikke censureret;49;1980;67430
9544;THE INCREDIBLE HULK;THE INCREDIBLE HULK (SE 3398);USA;113;Spillefilm, voksne;Tilladt for børn over 11 år;26;2008;67417
11184;TEORIEN OM ALTING;THE THEORY OF EVERYTHING;STORBRITANNIEN;123;Spillefilm, voksne;Frarådet for børn under 7 år;9;2015;67228
5729;POLITISKOLEN 6 VÆLTER BYEN;POLICE ACADEMY 6: CITY UNDER SIEGE;USA;84;.;Tilladt for alle;24;1989;67144
1493;ÆBLEKRIGEN;ÆPPELKRIGET;SVERIGE;104;.;Tilladt for alle;48;1974;67135
11609;ASSASSIN'S CREED;ASSASSIN'S CREED;STORBRITANNIEN;116;Spillefilm, voksne;Tilladt for børn over 11 år;1;2017;67125
11017;AMERICAN HUSTLE;AMERICAN HUSTLE;USA;138;Spillefilm, voksne;Tilladt for børn over 11 år;4;2014;67111
7332;FUCKING ÅMÅL;FUCKING ÅMÅL;SVERIGE;90;.;Tilladt for børn over 11 år;11;1999;67079
4511;TERMINATOR;TERMINATOR;USA;107;.;Over 15 år, ikke censureret;7;1985;67056
756;HÆRENS SKØRE GUTTER;LA FELDMARESCIALLA;ITALIEN;104;.;Tilladt for alle;38;1974;66993
10385;THE ARTIST;THE ARTIST;FRANKRIG;100;Spillefilm, voksne;Frarådet for børn under 7 år;6;2012;66978
7523;THE BONE COLLECTOR;THE BONE COLLECTOR;USA;117;.;Over 15 år, ikke censureret;3;2000;66971
4343;MONTY PYTHON I HOLLYWOOD;MONTY PYTHON LIVE AT THE HOLLYWOOD BOWL;STORBRITANNIEN;81;.;Tilladt for alle;44;1983;66937
2952;FARLIG PASSAGE;THE PASSAGE;STORBRITANNIEN;98;.;Over 15 år, ikke censureret;12;1979;66887
5993;YOUNG GUNS 2;YOUNG GUNS 2;USA;104;.;Tilladt for børn over 15 år;52;1990;66764
10821;CAPTAIN PHILLIPS;CAPTAIN PHILLIPS;USA;135;Spillefilm, voksne;Tilladt for børn over 15 år;43;2013;66738
8133;BOWLING FOR COLUMBINE;BOWLING FOR COLUMBINE;CANADA;120;.;Tilladt for børn over 11 år;3;2003;66701
6851;DESPERAT VALG;EXECUTIVE DECISION;USA;133;.;Over 15 år, ikke censureret;21;1996;66611
7686;SNATCH;SNATCH;USA;103;.;Tilladt for børn over 15 år;2;2001;66555
10166;YOGI BEAR;YOGI BEAR;USA;84;Spillefilm, børn/unge/familie;Tilladt for alle;6;2011;66547
5329;INGEN VEJ TILBAGE;NO WAY OUT;USA;114;.;Over 15 år, ikke censureret;52;1987;66521
9562;KÆRLIGHED I KOLERAENS TID;LOVE IN THE TIME OF CHOLERA;USA;139;Spillefilm, voksne;Tilladt for børn over 11 år;17;2008;66508
7313;BLADE - THE DAYWALKER;BLADE;USA;119;.;Over 15 år, ikke censureret;52;1998;66448
4780;THE LAST DRAGON;THE LAST DRAGON;USA;108;.;Tilladt for børn over 11 år;24;1985;66356
1398;TORNEROSE (TEGNEFILM);SLEEPING BEAUTY;USA;75;.;Tilladt for alle;52;1959;66313
6938;MISSION: JULEGAVE;JINGLE ALL THE WAY;USA;92;.;Frarådet for børn under 7 år;49;1996;66261
3489;HÆV TITANIC;RAISE THE TITANIC;USA;115;.;Frarådet for børn under 7 år;45;1980;66250
4796;CITY HEAT;CITY HEAT;USA;98;.;Tilladt for børn over 15 år;19;1985;66238
2857;DOG SOLDIERS - STOP REGNEN;WHO'LL STOP THE RAIN/DOG SOLDIERS;USA;126;.;Over 15 år, ikke censureret;40;1978;66198
8691;WEDDING CRASHERS;WEDDING CRASHERS;USA;120;Spillefilm, voksne;Frarådet for børn under 7 år;41;2005;66188
8066;FRIDA (SE 5293);FRIDA;USA;120;.;Over 15 år, ikke censureret;52;2002;66153
5983;LEG MED DØDEN (SE 2971);FLATLINERS (SE 11853);USA;114;.;Over 15 år, ikke censureret;44;1990;66152
4693;STREETS OF FIRE;STREETS OF FIRE;USA;94;.;Over 15 år, ikke censureret;41;1984;66077
8142;DRENGEN DER VILLE GØRE DET UMULIGE;;DANMARK;78;.;Frarådet for børn under 7 år;6;2003;65882
10531;BOURNE LEGACY;BOURNE LEGACY;USA;131;Spillefilm, voksne;Tilladt for børn over 15 år;33;2012;65827
3879;HEAVY METAL;HEAVY METAL;USA;90;.;Tilladt for børn over 15 år;8;1982;65798
3116;THE CHAMP;THE CHAMP;USA;124;.;Tilladt for børn over 11 år;38;1979;65761
11149;BIRDMAN;BIRDMAN;USA;120;Spillefilm, voksne;Tilladt for børn over 11 år;4;2015;65745
3675;TERRORPATRULJEN;NIGHTHAWKS;USA;100;.;Over 15 år, ikke censureret;20;1981;65731
10632;LINCOLN;LINCOLN;USA;151;Spillefilm, voksne;Tilladt for børn over 15 år;5;2013;65725
7269;OUT OF SIGHT;OUT OF SIGHT;USA;123;.;Tilladt for børn over 15 år;38;1998;65718
2554;ILSE - HUNDJÆVELEN FRA SIBIRIEN;ILSA-THE TIGRESS OF SIBERIA;SYD&MELLEMAM UOPLYST;93;.;Over 15 år, ikke censureret;52;1977;65708
10366;PARANORMAL ACTIVITY 3;PARANORMAL ACTIVITY 3;USA;85;Spillefilm, voksne;Over 15 år, ikke censureret;42;2011;65704
7141;THE PEACEMAKER;THE PEACEMAKER;USA;124;.;Tilladt for børn over 15 år;47;1997;65676
